Наименование, Легковые, Внедорожники
Проведение ТО, 2250, 2850
Замена моторного масла и фильтра, 650, 950
Замена воздушного фильтра, 450, 550
Замена салонного фильтра, 550, 750
Замена топливного фильтра (наружного), 700 ,1000
Диагностика ходовой части, 600, 900
Регулировка развал-схождения колёс, 1800, 2500
"Компьютерная диагностика, сброс ошибок", 1350, 1350
Диагностика электрической части, 800, 1000
Снятие/установка стартера, 2000, 2500
Снятие/установка генератора, 1500, 2000
Замена масла МКПП, 1200, 1500
Замена масла АКПП, 2200, 2600
Замена антифриза, 1400, 1700
Замена тормозной жидкости, 1400, 1700
"Долив технических жидкостей
(масло ДВС, антифриз, торм. жидкость, жидкость ГУР)", 200, 300
"Замена передних или задних тормозных колодок (за пару)", 1000, 1200
"Замена тормозных дисков\барабанов (за шт.)", 1200, 1400
"Замена тормозных колодок\барабанов (за пару)", 2600, 3200
