Регулировка стояночного тормоза, 500, 700
"Замена свечей зажигания, 4/6/8 цилиндров", 900 1350 1800, 1200 1800 2400
"Заправка кондиционера
(дополнительно фрион R134A)", 1500, 1600
"Антибактериальная обработка системы кондиционирования
(рекомендуется при замене салонного фильтра)", 1000, 1200
Замена сцепления, 5500, 7500
Замена рем. комплекта ГРМ, 5500, 7500
"Замена приводных ремней (за шт.)", 800, 1000
"Замена рычагов подвески (за шт.)
(без проведения работ по регулировке углов установки колес)", 1200, 1400
"Замена тяг стабилизатора (за шт.)", 900, 1200
"Замена приводов (ШРУСов) (за шт.)", 1700, 2500
"Замена ламп фар (за шт.)
(без демонтажа)", 250, 300
"Замена ламп фонарей (за шт.)
(без демонтажа)", 200, 300
Промывка радиатора (со снятием), 4500, 5500
Замена лобового/заднего стекла, 6000, 7000
